interaction_id,customer_id,date,interaction_type,issue_category,notes
I300000,C03125,2024-06-09,Call,Late Payment,Interaction logged
I300001,C05190,2024-05-11,Email,Service Issue,Interaction logged
I300002,C01189,2024-10-15,Email,Billing Question,Interaction logged
I300003,C06359,2024-04-09,Email,Billing Question,Interaction logged
I300004,C07773,2025-02-01,Meeting,Service Issue,Interaction logged
I300005,C05103,2024-04-04,Email,Late Payment,Interaction logged
I300006,C04989,2025-03-13,Email,Late Payment,Interaction logged
I300007,C09125,2024-11-16,Meeting,Service Issue,Interaction logged
I300008,C09847,2025-03-25,Meeting,Late Payment,Interaction logged
I300009,C09729,2024-06-13,Call,Billing Question,Interaction logged
I300010,C07257,2025-01-11,Call,PO Approval,Interaction logged
I300011,C02224,2024-05-10,Email,PO Approval,Interaction logged
I300012,C05936,2024-02-17,Call,PO Approval,Interaction logged
I300013,C07126,2024-12-25,Call,Late Payment,Interaction logged
I300014,C02214,2024-05-09,Call,Billing Question,Interaction logged
I300015,C08451,2024-08-04,Email,Billing Question,Interaction logged
I300016,C06730,2025-02-17,Call,Late Payment,Interaction logged
I300017,C01407,2025-03-11,Meeting,Late Payment,Interaction logged
I300018,C06299,2024-07-19,Meeting,Late Payment,Interaction logged
I300019,C07470,2024-01-18,Meeting,PO Approval,Interaction logged
I300020,C02743,2024-03-03,Meeting,Billing Question,Interaction logged
I300021,C03138,2025-03-09,Email,Billing Question,Interaction logged
I300022,C06467,2024-08-11,Email,Service Issue,Interaction logged
I300023,C04254,2024-05-26,Meeting,Billing Question,Interaction logged
I300024,C08045,2025-02-11,Call,Service Issue,Interaction logged
I300025,C09805,2024-03-31,Meeting,Service Issue,Interaction logged
I300026,C01258,2025-02-02,Call,Service Issue,Interaction logged
I300027,C09277,2024-01-04,Meeting,Service Issue,Interaction logged
I300028,C05352,2024-05-05,Meeting,PO Approval,Interaction logged
I300029,C01406,2024-04-19,Call,Billing Question,Interaction logged
I300030,C04815,2024-06-30,Meeting,PO Approval,Interaction logged
I300031,C09820,2024-01-24,Email,Service Issue,Interaction logged
I300032,C03191,2024-07-17,Meeting,Billing Question,Interaction logged
I300033,C05901,2025-03-10,Meeting,PO Approval,Interaction logged
