invoice_id,customer_id,invoice_date,invoice_amount,due_date,invoice_status
INV100000,C09769,2024-04-21,13110,2024-05-21,Open
INV100001,C06097,2024-03-20,15641,2024-04-19,Open
INV100002,C07356,2024-02-17,20188,2024-03-18,Paid
INV100003,C05507,2024-05-30,3609,2024-06-29,Paid
INV100004,C08201,2024-03-31,5903,2024-04-30,Open
INV100005,C09396,2024-05-12,18158,2024-07-11,Open
INV100006,C09914,2024-07-02,7421,2024-08-16,Paid
INV100007,C07612,2024-08-16,14427,2024-09-15,Paid
INV100008,C08786,2024-03-16,22695,2024-04-30,Paid
INV100009,C08798,2024-03-25,11107,2024-05-09,Paid
INV100010,C06021,2024-09-19,7738,2024-11-18,Open
INV100011,C01470,2024-08-21,714,2024-10-05,Paid
INV100012,C01696,2024-09-21,10578,2024-11-05,Paid
INV100013,C01307,2024-08-03,21861,2024-09-17,Open
INV100014,C05333,2024-12-10,6895,2025-01-24,Paid
INV100015,C09880,2024-06-22,20005,2024-08-21,Overdue
INV100016,C05798,2024-02-06,6370,2024-04-06,Open
INV100017,C03984,2024-01-17,20686,2024-02-16,Paid
INV100018,C09241,2024-10-23,8601,2024-12-07,Paid
INV100019,C01736,2024-11-15,8581,2024-12-30,Paid
INV100020,C04329,2024-12-04,21334,2025-02-02,Paid
INV100021,C03360,2024-11-08,6627,2025-01-07,Paid
INV100022,C08877,2024-02-14,17572,2024-04-14,Paid
INV100023,C06328,2024-03-13,7684,2024-04-27,Paid
INV100024,C09141,2024-12-30,18282,2025-02-28,Paid
INV100025,C06942,2024-04-18,16090,2024-06-02,Open
INV100026,C00305,2024-12-12,2409,2025-02-10,Overdue
INV100027,C02398,2024-12-08,18728,2025-01-22,Paid
INV100028,C06068,2024-05-17,18927,2024-06-16,Paid
INV100029,C02527,2024-06-30,14713,2024-08-29,Overdue
INV100030,C07160,2024-10-26,21841,2024-11-25,Paid
INV100031,C00187,2024-10-30,4277,2024-12-29,Paid
INV100032,C01565,2024-11-22,5240,2025-01-21,Paid
INV100033,C06814,2024-01-02,5493,2024-02-16,Overdue
INV100034,C01910,2024-03-20,21681,2024-04-19,Paid
INV100035,C08470,2024-04-27,12886,2024-06-11,Overdue
INV100036,C01483,2024-09-18,9592,2024-11-02,Paid
INV100037,C07905,2024-03-20,15250,2024-05-04,Open
INV100038,C04883,2024-03-29,11844,2024-05-13,Open
INV100039,C06979,2024-02-14,2226,2024-04-14,Open
INV100040,C09841,2024-09-22,2510,2024-11-06,Paid
INV100041,C01925,2024-08-31,19154,2024-10-30,Paid
INV100042,C02699,2024-10-14,15590,2024-12-13,Paid
INV100043,C09490,2024-01-02,20285,2024-02-16,Paid
INV100044,C09544,2024-10-03,14143,2024-12-02,Open
INV100045,C09410,2024-09-02,19046,2024-10-02,Open
INV100046,C00272,2024-08-13,23232,2024-09-12,Paid
INV100047,C01324,2024-12-14,2988,2025-01-13,Open
INV100048,C07752,2024-08-21,11451,2024-09-20,Paid
INV100049,C02244,2024-04-30,6486,2024-06-29,Paid
INV100050,C02953,2024-01-23,11114,2024-03-23,Overdue
INV100051,C00331,2024-07-18,18911,2024-08-17,Paid
INV100052,C05872,2024-08-23,5362,2024-09-22,Paid
