invoice_id,payment_id,payment_date,payment_amount,payment_method
INV110650,P100000,2024-11-04,19990.0,ACH
INV102041,P100001,2025-02-07,3490.0,Check
INV108668,P100002,2024-08-28,605.0,Wire
INV101114,P100003,2025-03-15,18205.0,Wire
INV113902,P100004,2024-02-02,16444.0,ACH
INV111963,P100005,2024-04-05,11724.0,Wire
INV111072,P100006,2024-05-22,5937.0,Wire
INV103002,P100007,2024-08-16,12920.0,Wire
INV119771,P100008,2024-02-12,8954.0,ACH
INV108115,P100009,2024-06-01,11625.0,ACH
INV103525,P100010,2024-10-26,23160.0,Check
INV107879,P100011,2024-08-19,21806.0,Wire
INV116441,P100012,2024-05-02,22282.0,ACH
INV116296,P100013,2024-04-23,21561.0,Check
INV112566,P100014,2025-02-23,9561.0,Wire
INV105252,P100015,2024-02-20,9823.5,ACH
INV119393,P100016,2024-08-19,3988.0,Check
INV116796,P100017,2024-04-10,1961.0,Wire
INV108094,P100018,2025-02-20,8278.0,Check
INV100322,P100019,2024-12-09,5605.0,ACH
INV109923,P100020,2025-03-01,15989.0,Wire
INV107459,P100021,2024-11-28,3108.5,ACH
INV119024,P100022,2024-08-28,4574.0,Wire
INV117553,P100023,2025-01-27,9171.0,ACH
INV109119,P100024,2024-09-05,6216.0,Wire
INV116421,P100025,2024-02-16,14475.0,Wire
INV116060,P100026,2024-11-01,15798.0,Wire
INV110120,P100027,2024-03-26,16454.0,Check
INV119055,P100028,2024-06-17,23172.0,Wire
INV103649,P100029,2024-04-26,380.0,Wire
INV103941,P100030,2024-04-30,24325.0,Wire
INV117880,P100031,2024-05-12,6495.5,ACH
INV116675,P100032,2024-11-11,6569.0,Check
INV112630,P100033,2025-01-13,10093.0,ACH
INV111443,P100034,2024-03-07,15853.0,ACH
INV112157,P100035,2024-08-11,10021.5,Check
INV113835,P100036,2025-02-18,7493.0,Check
INV103434,P100037,2024-06-05,9320.5,ACH
INV118739,P100038,2024-10-31,7644.5,ACH
INV117407,P100039,2024-12-05,1225.0,Check
INV115440,P100040,2024-02-24,983.0,ACH
INV110406,P100041,2024-08-14,11412.5,ACH
INV106517,P100042,2025-03-15,9230.0,Wire
INV100971,P100043,2024-11-20,3392.0,Check
INV116487,P100044,2025-03-14,3802.0,Check
INV119730,P100045,2025-01-19,6472.0,Check
INV113137,P100046,2024-02-06,12149.0,Wire
INV103669,P100047,2024-05-16,9667.0,Wire
INV115983,P100048,2024-06-22,8677.5,ACH
INV104058,P100049,2024-11-14,1959.5,Wire
INV114976,P100050,2024-03-17,17335.0,Check
INV115698,P100051,2024-08-05,16878.0,Wire
INV113829,P100052,2024-08-29,12868.0,Check
INV113419,P100053,2024-06-25,982.5,ACH
INV100960,P100054,2024-08-02,20243.0,ACH
INV117744,P100055,2024-07-10,21106.0,Check
INV109864,P100056,2024-08-14,14672.0,ACH
INV111263,P100057,2024-09-01,1036.0,Wire
INV115782,P100058,2024-10-04,1097.5,Wire
INV117196,P100059,2024-11-10,1501.5,ACH
INV107554,P100060,2024-06-10,3382.0,Wire
INV110498,P100061,2024-10-01,3629.0,Wire
INV117059,P100062,2024-11-03,7708.5,Check
INV117928,P100063,2024-08-24,21468.0,ACH
INV107085,P100064,2024-02-27,19108.0,Check
INV114753,P100065,2024-03-12,22780.0,Wire
INV104519,P100066,2024-07-26,5673.0,Check
INV103024,P100067,2025-01-14,13489.0,ACH
INV112121,P100068,2024-09-22,1097.0,Check
INV118494,P100069,2024-08-22,10696.5,Check
INV105483,P100070,2024-10-25,22699.0,Check
INV101419,P100071,2024-02-11,23522.0,ACH
INV106209,P100072,2024-06-30,15124.0,Wire
INV110742,P100073,2024-07-03,14474.0,ACH
INV116143,P100074,2024-10-04,8413.0,Wire
