po_id,customer_id,po_date,po_amount,approval_status
PO200000,C08704,2024-02-23,2469,Delayed
PO200001,C03903,2024-01-10,1272,Approved
PO200002,C04644,2024-09-03,21690,Approved
PO200003,C07713,2024-06-06,20683,Approved
PO200004,C02801,2024-07-15,12043,Pending
PO200005,C08341,2024-07-26,12072,Pending
PO200006,C01085,2024-07-01,1967,Approved
PO200007,C04057,2024-09-18,7956,Approved
PO200008,C09400,2024-03-03,590,Approved
PO200009,C06750,2024-06-18,9519,Approved
PO200010,C09937,2024-05-20,16474,Delayed
PO200011,C04651,2024-04-03,665,Approved
PO200012,C01126,2024-06-07,21362,Approved
PO200013,C08079,2024-02-20,23330,Approved
PO200014,C03235,2024-09-26,17684,Approved
PO200015,C06391,2024-05-04,23238,Pending
PO200016,C05241,2024-05-05,13494,Approved
PO200017,C05164,2024-01-29,22432,Pending
PO200018,C03825,2024-02-16,4288,Approved
PO200019,C00524,2024-10-07,16958,Pending
PO200020,C05301,2024-04-08,24353,Approved
PO200021,C01867,2024-10-24,16314,Pending
PO200022,C05871,2024-11-09,21985,Approved
PO200023,C06888,2024-04-25,24732,Pending
PO200024,C04918,2024-09-17,24345,Delayed
PO200025,C00173,2024-03-28,5433,Approved
PO200026,C04239,2024-02-25,14142,Delayed
PO200027,C05891,2024-07-09,18563,Approved
PO200028,C03672,2024-07-11,3841,Approved
PO200029,C02913,2024-02-16,9021,Approved
PO200030,C01051,2024-12-13,23546,Approved
PO200031,C06907,2024-11-23,22902,Approved
PO200032,C05837,2024-10-03,23105,Approved
PO200033,C06209,2024-06-18,8689,Approved
PO200034,C06193,2024-08-16,12419,Approved
PO200035,C05374,2024-06-22,9107,Approved
PO200036,C00400,2024-10-15,19320,Approved
PO200037,C06092,2024-11-11,7959,Pending
PO200038,C02514,2024-12-12,7962,Pending
PO200039,C09685,2024-03-17,20632,Approved
PO200040,C02324,2024-08-20,7562,Approved
PO200041,C02363,2024-03-25,4364,Approved
PO200042,C08524,2024-07-12,21983,Pending
